match_id,date,team_1,team_2,venue,substitute_player,event,player_out,dismissal_kind
1082591,2017-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",CJ Jordan,substitute fielder,YS Chahal,run out
1082596,2017-04-09,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",V Shankar,substitute fielder,DR Smith,caught
1082597,2017-04-09,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,R Dhawan,substitute fielder,KA Pollard,caught
1082604,2017-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,R Dhawan,substitute fielder,Yuvraj Singh,caught
1082611,2017-04-19,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",V Shankar,substitute fielder,KK Nair,run out
1082611,2017-04-19,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",CJ Jordan,substitute fielder,AD Mathews,caught
1082615,2017-04-22,Rising Pune Supergiant,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,V Shankar,substitute fielder,BA Stokes,caught
1082624,2017-04-29,Rising Pune Supergiant,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,MA Agarwal,substitute fielder,V Kohli,caught
1082631,2017-05-03,Kolkata Knight Riders,Rising Pune Supergiant,Eden Gardens,R Powell,substitute fielder,RA Tripathi,caught
1082632,2017-05-04,Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,CR Brathwaite,substitute fielder,JP Faulkner,caught
1082637,2017-05-07,Kings XI Punjab,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",DA Miller,substitute fielder,Ishan Kishan,caught
1082644,2017-05-13,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,J Suchith,substitute fielder,CA Lynn,caught
1082650,2017-05-21,Mumbai Indians,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",J Suchith,substitute fielder,Washington Sundar,run out
1136565,2018-04-10,Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,Shivam Mavi,substitute fielder,AT Rayudu,caught
1136574,2018-04-17,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,JP Duminy,substitute fielder,CJ Anderson,caught
1136574,2018-04-17,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,AP Tare,substitute fielder,SN Khan,stumped
1136576,2018-04-19,Kings XI Punjab,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,MK Tiwary,substitute fielder,DJ Hooda,caught
1136583,2018-04-24,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,DJ Hooda,substitute fielder,Ishan Kishan,caught
1136597,2018-05-06,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,RK Singh,substitute fielder,RG Sharma,caught
1136604,2018-05-12,Kolkata Knight Riders,Kings XI Punjab,Holkar Cricket Stadium,DA Miller,substitute fielder,N Rana,caught
1136607,2018-05-13,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,RD Chahar,substitute fielder,SV Samson,caught
1136614,2018-05-19,Sunrisers Hyderabad,Kolkata Knight Riders,Rajiv Gandhi International Stadium,RK Singh,substitute fielder,MK Pandey,caught
1136615,2018-05-20,Delhi Daredevils,Mumbai Indians,Arun Jaitley Stadium,R Tewatia,substitute fielder,KH Pandya,caught
1136620,2018-05-27,Sunrisers Hyderabad,Chennai Super Kings,Wankhede Stadium,DR Shorey,substitute fielder,DJ Hooda,caught
1175359,2019-03-25,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,KK Nair,substitute fielder,BA Stokes,caught
1175363,2019-03-29,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,P Chopra,substitute fielder,V Shankar,caught
1175365,2019-03-30,Kolkata Knight Riders,Delhi Capitals,Arun Jaitley Stadium,R Tewatia,substitute fielder,AD Russell,caught
1175367,2019-03-31,Chennai Super Kings,Rajasthan Royals,MA Chidambaram Stadium,DR Shorey,substitute fielder,SPD Smith,caught
1175368,2019-04-01,Kings XI Punjab,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,KK Nair,substitute fielder,CA Ingram,caught
1175372,2019-04-05,Royal Challengers Bangalore,Kolkata Knight Riders,M.Chinnaswamy Stadium,H Klaasen,substitute fielder,N Rana,caught
1178397,2019-04-08,Sunrisers Hyderabad,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,KK Nair,substitute fielder,MK Pandey,caught
1178399,2019-04-10,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,MC Henriques,substitute fielder,SA Yadav,caught
1178400,2019-04-11,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,DR Shorey,substitute fielder,SV Samson,caught
1178404,2019-04-14,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,DR Shorey,substitute fielder,AD Russell,caught
1178406,2019-04-15,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,Milind Kumar,substitute fielder,KH Pandya,caught
1178414,2019-04-21,Royal Challengers Bangalore,Chennai Super Kings,M.Chinnaswamy Stadium,DR Shorey,substitute fielder,MP Stoinis,caught
1178430,2019-05-05,Chennai Super Kings,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,DR Shorey,substitute fielder,CH Gayle,caught
1181764,2019-05-07,Chennai Super Kings,Mumbai Indians,MA Chidambaram Stadium,Anmolpreet Singh,substitute fielder,F du Plessis,caught
1216498,2020-10-24,Kings XI Punjab,Sunrisers Hyderabad,Dubai International Cricket Stadium,J Suchith,substitute fielder,MK Pandey,caught
1216511,2020-10-06,Mumbai Indians,Rajasthan Royals,Sheikh Zayed Stadium,AS Roy,substitute fielder,MK Lomror,caught
1216515,2020-10-03,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium,AR Patel,substitute fielder,N Rana,caught
1216517,2020-10-18,Mumbai Indians,Kings XI Punjab,Dubai International Cricket Stadium,AS Roy,substitute fielder,N Pooran,caught
1216523,2020-10-10,Kolkata Knight Riders,Kings XI Punjab,Sheikh Zayed Stadium,CJ Green,substitute fielder,Mandeep Singh,caught
1216524,2020-10-27,Sunrisers Hyderabad,Delhi Capitals,Dubai International Cricket Stadium,PK Garg,substitute fielder,AR Patel,caught
1216524,2020-10-27,Sunrisers Hyderabad,Delhi Capitals,Dubai International Cricket Stadium,SP Goswami,substitute fielder,RR Pant,caught
1216530,2020-11-01,Kolkata Knight Riders,Rajasthan Royals,Dubai International Cricket Stadium,DA Miller,substitute fielder,AD Russell,caught
1216543,2020-10-14,Delhi Capitals,Rajasthan Royals,Dubai International Cricket Stadium,Lalit Yadav,substitute fielder,BA Stokes,caught
1216547,2020-09-28,Royal Challengers Bangalore,Mumbai Indians,Dubai International Cricket Stadium,P Negi,substitute fielder,RG Sharma,caught
1237180,2020-11-08,Delhi Capitals,Sunrisers Hyderabad,Sheikh Zayed Stadium,KMA Paul,substitute fielder,Abdul Samad,caught
1237181,2020-11-10,Delhi Capitals,Mumbai Indians,Dubai International Cricket Stadium,AS Roy,substitute fielder,AR Patel,caught
1237181,2020-11-10,Delhi Capitals,Mumbai Indians,Dubai International Cricket Stadium,Lalit Yadav,substitute fielder,RG Sharma,caught
1254066,2021-04-17,Mumbai Indians,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",J Suchith,substitute fielder,Q de Kock,caught
1254067,2021-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",DT Christian,substitute fielder,Shubman Gill,caught
1254068,2021-04-18,Punjab Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",RV Patel,substitute fielder,CH Gayle,caught
1254075,2021-04-24,Kolkata Knight Riders,Rajasthan Royals,"Wankhede Stadium, Mumbai",KL Nagarkoti,substitute fielder,YBK Jaiswal,caught
1254092,2021-09-28,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium,KK Nair,substitute fielder,RR Pant,run out
1254093,2021-10-05,Rajasthan Royals,Mumbai Indians,Sharjah Cricket Stadium,MK Lomror,substitute fielder,SA Yadav,caught
1254098,2021-09-26,Kolkata Knight Riders,Chennai Super Kings,"Zayed Cricket Stadium, Abu Dhabi",KL Nagarkoti,substitute fielder,SM Curran,caught
1254103,2021-09-29,Rajasthan Royals,Royal Challengers Bangalore,Dubai International Cricket Stadium,Anuj Rawat,substitute fielder,KS Bharat,caught
1254104,2021-09-19,Chennai Super Kings,Mumbai Indians,Dubai International Cricket Stadium,K Gowtham,substitute fielder,AF Milne,caught
1254105,2021-09-22,Sunrisers Hyderabad,Delhi Capitals,Dubai International Cricket Stadium,SPD Smith,substitute fielder,Rashid Khan,run out
1254107,2021-09-25,Punjab Kings,Sunrisers Hyderabad,Sharjah Cricket Stadium,J Suchith,substitute fielder,KL Rahul,caught
1254108,2021-09-26,Royal Challengers Bangalore,Mumbai Indians,Dubai International Cricket Stadium,AS Roy,substitute fielder,V Kohli,caught
1254114,2021-10-10,Delhi Capitals,Chennai Super Kings,Dubai International Cricket Stadium,MJ Santner,substitute fielder,AR Patel,caught
1254116,2021-10-13,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium,SPD Smith,substitute fielder,VR Iyer,caught
1304065,2022-04-10,Delhi Capitals,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",RK Singh,substitute fielder,R Powell,caught
1304072,2022-04-16,Lucknow Super Giants,Mumbai Indians,"Brabourne Stadium, Mumbai",K Gowtham,substitute fielder,SA Yadav,caught
1304083,2022-04-24,Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai",K Gowtham,substitute fielder,RG Sharma,caught
1304089,2022-04-30,Royal Challengers Bangalore,Gujarat Titans,"Brabourne Stadium, Mumbai",Anuj Rawat,substitute fielder,B Sai Sudharsan,caught
1304095,2022-05-04,Royal Challengers Bangalore,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",SS Prabhudessai,substitute fielder,RD Gaikwad,caught
1304101,2022-05-08,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",KL Nagarkoti,substitute fielder,RV Uthappa,caught
1304104,2022-05-11,Rajasthan Royals,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",KL Nagarkoti,substitute fielder,D Padikkal,caught
1304111,2022-05-17,Sunrisers Hyderabad,Mumbai Indians,"Wankhede Stadium, Mumbai",J Suchith,substitute fielder,RG Sharma,caught
