date,team_1,team_2,winner,target,team_1_win_rate,team_2_win_rate,win_rate_difference,team_1_recent_win_rate,team_2_recent_win_rate,recent_form_difference,team_1_h2h_win_rate,team_2_h2h_win_rate,h2h_difference,team_1_won_toss,team_1_batted_first,toss_winner,toss_decision,venue,city,team_1_venue_win_rate,team_2_venue_win_rate,venue_win_rate_difference,team_1_city_win_rate,team_2_city_win_rate,city_win_rate_difference,team_1_toss_and_bat
2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,1,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1,0,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,0.5,0.5,0.0,0.5,0.5,0.0,0
2008-04-19,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,1,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0,0,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,0.5,0.5,0.0,0.5,0.5,0.0,0
2008-04-19,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0,0,Rajasthan Royals,bat,Feroz Shah Kotla,Delhi,0.5,0.5,0.0,0.5,0.5,0.0,0
2008-04-20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0,0,Deccan Chargers,bat,Eden Gardens,Kolkata,0.5,0.5,0.0,0.5,0.5,0.0,0
2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,1,1,Mumbai Indians,bat,Wankhede Stadium,Mumbai,0.5,0.5,0.0,0.5,0.5,0.0,1
2008-04-21,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0,0,Kings XI Punjab,bat,Sawai Mansingh Stadium,Jaipur,0.5,0.5,0.0,0.5,0.5,0.0,0
2008-04-22,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,1,0.0,1.0,-1.0,0.0,1.0,-1.0,0.5,0.5,0.0,1,1,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,0.5,0.5,0.0,0.5,0.5,0.0,1
2008-04-23,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0,1,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Chennai,0.5,0.5,0.0,0.5,0.5,0.0,0
2008-04-24,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,1,0.0,0.5,-0.5,0.0,0.5,-0.5,0.5,0.5,0.0,0,1,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,0.0,0.5,-0.5,0.0,0.5,-0.5,0
2008-04-25,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0,1,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,0.0,0.5,-0.5,0.0,0.5,-0.5,0
